Date	Median_Home_Price
7/1/2008	314100
8/1/2008	315400
9/1/2008	313600
10/1/2008	314100
11/1/2008	306200
12/1/2008	308000
1/1/2009	306400
2/1/2009	314300
3/1/2009	309600
4/1/2009	304600
5/1/2009	293500
6/1/2009	290500
7/1/2009	287100
8/1/2009	286100
9/1/2009	288700
10/1/2009	291600
11/1/2009	292500
12/1/2009	295800
1/1/2010	301600
2/1/2010	310300
3/1/2010	310800
4/1/2010	304100
5/1/2010	296300
6/1/2010	289100
7/1/2010	296400
8/1/2010	299500
9/1/2010	299500
10/1/2010	290400
11/1/2010	286500
12/1/2010	291800
1/1/2011	290500
2/1/2011	291700
3/1/2011	283300
4/1/2011	280400
5/1/2011	271200
6/1/2011	264400
7/1/2011	262000
8/1/2011	261200
9/1/2011	263000
10/1/2011	259300
11/1/2011	259000
12/1/2011	260900
1/1/2012	262700
2/1/2012	264200
3/1/2012	262300
4/1/2012	269400
5/1/2012	273800
6/1/2012	282600
7/1/2012	285700
8/1/2012	288200
9/1/2012	290900
10/1/2012	293600
11/1/2012	300900
12/1/2012	302900
1/1/2013	299100
2/1/2013	299000
3/1/2013	299500
4/1/2013	308300
5/1/2013	310800
6/1/2013	312900
7/1/2013	315300
8/1/2013	317100
9/1/2013	320900
10/1/2013	320800
11/1/2013	320200
12/1/2013	318000
1/1/2014	317700
2/1/2014	318600
3/1/2014	318100
4/1/2014	314300
5/1/2014	312100
6/1/2014	314900
7/1/2014	319700
8/1/2014	320900
9/1/2014	322500
10/1/2014	321700
11/1/2014	323400
12/1/2014	323800
1/1/2015	327000
2/1/2015	333200
3/1/2015	337100
4/1/2015	339700
5/1/2015	338200
6/1/2015	339300
7/1/2015	337300
8/1/2015	339000
9/1/2015	338500
10/1/2015	344600
11/1/2015	344700
12/1/2015	349500
1/1/2016	351900
2/1/2016	355300
3/1/2016	356600
4/1/2016	357700
5/1/2016	360500
6/1/2016	362100
7/1/2016	363600
8/1/2016	365200
9/1/2016	365800
10/1/2016	368900
11/1/2016	374500
12/1/2016	379100
1/1/2017	382200
2/1/2017	381100
3/1/2017	384400
4/1/2017	391100
5/1/2017	398900
6/1/2017	406200
7/1/2017	407400
8/1/2017	408400
9/1/2017	409700
10/1/2017	409000
11/1/2017	415200
12/1/2017	420900
1/1/2018	431400
2/1/2018	441800
